Playername,Country,Age,Height,Position,Years Played,Mean Year,Appearances,Goals,Birthplace,Longitude,Latitude
Roberto Abbondanzieri,Argentina,42,1.86,Goalkeeper,2004-2008,2006,49,0,Bouquet Santa Fe,-61.9,-32.4167
David Acevedo,Argentina,77,,Defender,,,,,Santa Fe Argentina,-60.7,-31.6333
Oscar Ahumada,Argentina,31,1.70,Midfielder,2012-,2013,1,0,Z&#xE1;rate Buenos Aires,-59.0333,-34.0833
Pablo Aimar,Argentina,34,1.70,Midfielder,1999-2009,2004,52,8,R&#xED;o Cuarto C&#xF3;rdoba,-64.35,-33.1333
Ram&#xF3;n Abeledo,Argentina,77,,Midfielder,,,,,Argentina,-58.3833,-34.6
Roberto Aguirre,Argentina,72,,Defender,1968-1969,1968.5,8,0,Buenos Aires,-58.3817,-34.6033
Oscar Rom&#xE1;n Acosta,Argentina,49,,Midfielder,1987,1987,1,0,Rosario Santa Fe,-60.6667,-32.95
Sergio Ag&#xFC;ero,Argentina,26,1.72,Forward,2006-,2010,55,21,Buenos Aires,-58.3817,-34.6033
Ernesto Albarrac&#xED;n,Argentina,,,Midfielder,,,,,Argentina,-58.3833,-34.6
&#xC1;ngel Allegri,Argentina,,,Defender,1950-1951,1950.5,4,0,Argentina,-58.3833,-34.6
Carlos Alfaro Moreno,Argentina,49,,Forward,1989-1991,1990,11,2,Buenos Aires,-58.3817,-34.6033
Mauro Airez,Argentina,45,1.75,Forward,1989-1990,1989.5,4,1,Buenos Aires,-58.3817,-34.6033
Mat&#xED;as Almeyda,Argentina,40,1.75,Midfielder,1996-2003,1999.5,35,1,Azul Buenos Aires Province,-59.85,-36.7833
Roque Alfaro,Argentina,58,,Forward,1987,1987,5,0,Nogoy&#xE1;,-59.8,-32.4
Walter Acevedo,Argentina,28,1.74,Midfielder,2010-,2012,1,0,San Justo Buenos Aires,-58.55,-34.6833
Ricardo Gabriel &#xC1;lvarez,Argentina,26,1.88,Midfielder,2011-,2012.5,7,1,Buenos Aires,-58.3817,-34.6033
Sergio Omar Almir&#xF3;n,Argentina,56,1.76,Forward,1985-1986,1985.5,6,4,Rosario Santa Fe,-60.6667,-32.95
Norberto Alonso,Argentina,61,1.76,Midfielder,1973-1983,1978,19,4,Vicente L&#xF3;pez,-58.4667,-34.5333
Luis Antonio Amuch&#xE1;stegui,Argentina,53,,Forward,1981-1983,1982,3,0,C&#xF3;rdoba Argentina,-64.1833,-31.4167
Rafael Albrecht,Argentina,73,,Defender,1961-1969,1965,39,3,San Miguel de Tucum&#xE1;n,-65.2167,-26.8331
Marcos Angeleri,Argentina,31,1.80,Defender,2009-,2011.5,4,0,La Plata,-57.9544,-34.9211
&#xC1;ngel Grippa,Argentina,,,Goalkeeper,,,,,Argentina,-58.3833,-34.6
Cristian Ansaldi,Argentina,27,1.81,Defender,2009-,2011.5,3,0,Rosario Santa Fe,-60.6667,-32.95
Osvaldo Ardiles,Argentina,62,1.69,Midfielder,1975-1982,1978.5,52,8,Bell Ville,-62.6833,-32.6333
Mariano And&#xFA;jar,Argentina,31,1.94,Goalkeeper,2009-,2011.5,10,0,Buenos Aires,-58.3817,-34.6033
Rodolfo Arruabarrena,Argentina,39,1.78,Defender,1994-2006,2000,6,0,Marcos Paz Buenos Aires,-58.8333,-34.7667
Antonio Valent&#xED;n Angelillo,Argentina,76,,Forward,1961-1962,1961.5,2,1,Buenos Aires,-58.3817,-34.6033
Jorge Artigas,Argentina,38,1.76,Midfielder,,,,,Buenos Aires,-58.3817,-34.6033
H&#xE9;ber Alberto Arriola,Argentina,34,1.87,Forward,,,,,Buenos Aires,-58.3817,-34.6033
Julio Asad,Argentina,61,,Midfielder,1975-1976,1975.5,7,1,Buenos Aires,-58.3817,-34.6033
Edgardo Andrada,Argentina,75,,Goalkeeper,1961-1969,1965,20,,Rosario Santa Fe,-60.6667,-32.95
Roberto Ayala,Argentina,41,1.77,Defender,1994-2007,2000.5,115,7,Paran&#xE1; Entre R&#xED;os,-60.5333,-31.7333
Leonardo Astrada,Argentina,44,1.74,Midfielder,1991-1999,1995,32,1,Buenos Aires,-58.3817,-34.6033
Agust&#xED;n Balbuena,Argentina,68,,Forward,,,8,0,Santa Fe Argentina,-60.7,-31.6333
Ludovico Avio,Argentina,,,Forward,,,,,Argentina,-58.3833,-34.6
Rub&#xE9;n Ayala,Argentina,64,,Forward,1969-1974,1971.5,25,11,Santa Fe Province,-62.2461,-33.7228
Roque Avallay,Argentina,68,,Forward,1968-1974,1971,15,1,San Rafael Mendoza,-68.3333,-34.6
Emilio Baldonedo,Argentina,,,Forward,1940,1940,6,7,Boedo,-58.4167,-34.6333
Abel Balbo,Argentina,48,1.80,Forward,1989-1998,1993.5,37,11,Empalme Villa Constituci&#xF3;n,-60.3833,-33.2667
H&#xE9;ctor Baley,Argentina,63,,Goalkeeper,1978-1982,1980,13,0,San Nicol&#xE1;s de los Arroyos,-60.2167,-33.3333
&#xC9;ver Banega,Argentina,26,1.74,Midfielder,2008-,2011,24,2,Rosario Santa Fe,-60.6667,-32.95
Juan Barbas,Argentina,55,1.67,Midfielder,1979-1985,1982,33,0,San Mart&#xED;n Buenos Aires,-58.5333,-34.5667
Hern&#xE1;n Barcos,Argentina,30,1.89,Forward,2012-,2013,4,0,Bell Ville,-62.6833,-32.6333
Carlos Babington,Argentina,64,,Forward,,,13,2,Buenos Aires,-58.3817,-34.6033
&#xC1;ngel Bargas,Argentina,67,1.75,Defender,1971-1974,1972.5,30,1,Buenos Aires,-58.3817,-34.6033
Omar Asad,Argentina,43,1.77,Forward,1995,1995,2,0,Buenos Aires,-58.3817,-34.6033
Sergio Batista,Argentina,51,1.86,Midfielder,1985-1990,1987.5,39,0,Buenos Aires,-58.3817,-34.6033
Jos&#xE9; Basualdo,Argentina,51,1.77,Midfielder,1989-1995,1992,31,0,Campana Buenos Aires Province,-58.9167,-34.1667
Guillermo Barros Schelotto,Argentina,41,,Forward,1995-1999,1997,10,0,La Plata,-57.9544,-34.9211
Alfio Basile,Argentina,70,,Defender,1968-1973,1970.5,8,1,Bah&#xED;a Blanca,-62.2667,-38.7167
Sebasti&#xE1;n Battaglia,Argentina,33,1.78,Midfielder,2003-2009,2006,10,0,Santa Fe Argentina,-60.7,-31.6333
Christian Bassedas,Argentina,41,1.78,Midfielder,1994-1999,1996.5,22,0,Buenos Aires,-58.3817,-34.6033
Fabi&#xE1;n Basualdo,Argentina,50,,Defender,1991-1993,1992,29,0,Rosario Santa Fe,-60.6667,-32.95
Edgardo Bauza,Argentina,56,1.89,Defender,1981-1990,1985.5,3,0,Granadero Baigorria,-60.7,-32.85
Fernando Belluschi,Argentina,30,1.75,Midfielder,2005-,2009.5,5,0,Los Quirquinchos,-61.7167,-33.3667
Jos&#xE9; Mar&#xED;a Basanta,Argentina,30,1.88,Defender,2013-,2013.5,12,0,Tres Sargentos,-60.0167,-34.45
Gabriel Batistuta,Argentina,45,1.85,Forward,1991-2002,1996.5,78,56,Reconquista Santa Fe,-59.9333,-29.2333
Delf&#xED;n Ben&#xED;tez C&#xE1;ceres,Argentina,,,Forward,1934,1934,1,1,Asunci&#xF3;n,-57.635,-25.2819
Ra&#xFA;l Bernao,Argentina,,,Midfielder,1965-1970,1967.5,15,4,Sarand&#xED; Buenos Aires,-58.3333,-34.6833
Ernesto Belis,Argentina,,,Defender,,,,,Argentina,-58.3833,-34.6
Lucas Bernardi,Argentina,36,1.73,Midfielder,2004-2005,2004.5,6,0,Rosario Santa Fe,-60.6667,-32.95
Sergio Berti,Argentina,44,1.83,Midfielder,1994-1998,1996,22,1,Villa Constituci&#xF3;n,-60.3333,-33.2333
Daniel Bertoni,Argentina,59,1.79,Midfielder,1974-1982,1978,31,12,Bah&#xED;a Blanca,-62.2667,-38.7167
Gonzalo Rub&#xE9;n Bergessio,Argentina,30,1.78,Forward,2008-,2011,3,2,C&#xF3;rdoba Argentina,-64.1833,-31.4167
Hern&#xE1;n Bernardello,Argentina,28,1.74,Midfielder,2009,2009,1,0,Rosario Santa Fe,-60.6667,-32.95
Daniel Bilos,Argentina,33,1.94,Forward,2005-2006,2005.5,3,1,Pergamino,-60.5667,-33.8833
Norberto Boggio,Argentina,83,1.71,Forward,,,,,Santa Fe Argentina,-60.7,-31.6333
Claudio Biaggio,Argentina,47,1.77,Forward,1995,1995,1,0,La Plata,-57.9544,-34.9211
Carlos Bianchi,Argentina,65,1.78,Forward,1970-1972,1971,14,7,Buenos Aires,-58.3817,-34.6033
Ricardo Bochini,Argentina,60,1.68,playmaker,1973-1986,1979.5,28,0,Z&#xE1;rate Buenos Aires,-59.0333,-34.0833
Ludovico Bidoglio,Argentina,,,Defender,1921-1928,1924.5,34,0,Buenos Aires,-58.3817,-34.6033
David Bisconti,Argentina,45,1.78,Forward,1991,1991,5,1,Rosario Santa Fe,-60.6667,-32.95
Sebasti&#xE1;n Blanco,Argentina,26,1.66,Midfielder,2009-,2011.5,2,1,Lomas de Zamora,-58.4,-34.7667
Mario Bolatti,Argentina,29,1.90,Midfielder,2009-,2011.5,12,1,Mar Chiquita Lake (C&#xF3;rdoba),-62.6667,-30.5
Ra&#xFA;l Bel&#xE9;n,Argentina,,,Forward,,,,,Argentina,-58.3833,-34.6
Roberto Bonano,Argentina,44,1.86,Goalkeeper,1996-2002,1999,13,0,Rosario Santa Fe,-60.6667,-32.95
Jorge Borelli,Argentina,49,1.80,Defender,1992-1994,1993,13,0,Buenos Aires,-58.3817,-34.6033
Juan Jos&#xE9; Borrelli,Argentina,43,,Midfielder,1995-1997,1996,7,0,San Isidro Buenos Aires,-58.5167,-34.4667
Mauro Boselli,Argentina,29,1.82,Forward,2009-,2011.5,4,1,Buenos Aires,-58.3817,-34.6033
Jonathan Bottinelli,Argentina,29,1.79,Defender,2007-,2010.5,1,0,Buenos Aires,-58.3817,-34.6033
H&#xE9;ctor De Bourgoing,Argentina,,1.72,Midfielder,1956-1957,1956.5,5,0,Posadas Misiones,-55.9,-27.3667
&#xC1;ngel Bossio,Argentina,,1.78,Goalkeeper,1927-1935,1931,21,0,Argentina,-58.3833,-34.6
Claudio Borghi,Argentina,49,1.81,Midfielder,1985-1986,1985.5,9,1,Castelar,-58.6667,-34.6667
Mario Boy&#xE9;,Argentina,,,Forward,1945-1951,1948,17,7,Buenos Aires,-58.3817,-34.6033
Carlos Bossio,Argentina,40,1.94,Goalkeeper,1994-1996,1995,11,0,C&#xF3;rdoba Argentina,-64.1833,-31.4167
Ram&#xF3;n B&#xF3;veda,Argentina,65,,Midfielder,1972-1975,1973.5,8,1,Piran&#xE9;,-59.11,-25.7328
Juan Botasso,Argentina,,1.69,Goalkeeper,,,9,0,Buenos Aires,-58.3817,-34.6033
Rodrigo Bra&#xF1;a,Argentina,35,1.67,Midfielder,2009-,2011.5,9,0,Berazategui Partido,-58.4,-34.7833
Miguel &#xC1;ngel Brindisi,Argentina,63,,Forward,1969-1974,1971.5,46,17,Buenos Aires,-58.3817,-34.6033
Carlos Brown (footballer),Argentina,,,,1903-1905,1904,,,Argentina,-58.3833,-34.6
Alfredo Brown,Argentina,,,Forward,1906-1911,1908.5,,,Argentina,-58.3833,-34.6
Guillermo Burdisso,Argentina,25,1.87,Defender,2010-,2012,1,1,C&#xF3;rdoba Province Argentina,-64.1833,-31.4167
Eliseo Brown,Argentina,,,Forward,1906-1911,1908.5,,,Argentina,-58.3833,-34.6
Jorge Brown,Argentina,,,Defender,1902-1913,1907.5,23,4,San Vicente Buenos Aires,-58.4167,-35.0167
Nicol&#xE1;s Burdisso,Argentina,33,1.83,Defender,2003-2011,2007,49,2,C&#xF3;rdoba Province Argentina,-64.1833,-31.4167
Jorge Burruchaga,Argentina,51,1.77,Forward,1983-1990,1986.5,57,13,Gualeguay Entre R&#xED;os,-59.3333,-33.15
Fernando C&#xE1;ceres,Argentina,45,1.80,Defender,1992-1997,1994.5,24,1,San Isidro Buenos Aires,-58.5167,-34.4667
Germ&#xE1;n Burgos,Argentina,45,1.88,Goalkeeper,1995-2002,1998.5,35,0,Mar del Plata,-57.55,-38
Ernesto Brown,Argentina,,,Defender,1902-1912,1907,12,1,Argentina,-58.3833,-34.6
Juan Domingo Brown,Argentina,,,,1906-1916,1911,36,2,Argentina,-58.3833,-34.6
Jos&#xE9; Luis Brown,Argentina,57,1.83,Defender,1983-1989,1986,36,1,Ranchos Buenos Aires,-58.3189,-35.5164
Germ&#xE1;n Caffa,Argentina,33,1.90,Goalkeeper,,,,,Concepci&#xF3;n del Uruguay,-58.2333,-32.4833
Sa&#xFA;l Calandra,Argentina,,,Midfielder,1927-1928,1927.5,3,0,La Plata,-57.9544,-34.9211
Hugo Campagnaro,Argentina,34,1.81,Defender,2012-,2013,16,0,C&#xF3;rdoba Argentina,-64.1833,-31.4167
Jos&#xE9; Luis Calder&#xF3;n,Argentina,43,1.78,Forward,1997-1999,1998,5,0,La Plata,-57.9544,-34.9211
Diego Cagna,Argentina,44,1.82,Midfielder,1992-1999,1995.5,19,1,Buenos Aires,-58.3817,-34.6033
Esteban Cambiasso,Argentina,34,1.77,Midfielder,2000-2011,2005.5,52,5,Buenos Aires,-58.3817,-34.6033
Juli&#xE1;n Camino,Argentina,53,,Defender,1983-1985,1984,11,0,Maip&#xFA; Buenos Aires,-57.8667,-36.8667
Fabi&#xE1;n Cancelarich,Argentina,48,1.91,Goalkeeper,1990-1992,1991,,,Santa Fe Argentina,-60.7,-31.6333
Pedro Calomino,Argentina,,,Forward,1917-1921,1919,37,5,Buenos Aires,-58.3817,-34.6033
Oscar Calics,Argentina,74,,Midfielder,1966-67,1016.5,6,0,Buenos Aires,-58.3817,-34.6033
Ignacio Canuto,Argentina,28,1.88,Defender,2009-,2011.5,3,1,Santa Fe Argentina,-60.7,-31.6333
Cristian Campestrini,Argentina,34,1.82,Goalkeeper,2009-,2011.5,2,0,San Nicol&#xE1;s Buenos Aires,-58.3758,-34.6053
Claudio Caniggia,Argentina,47,1.75,Forward,1987-2002,1994.5,50,16,Henderson Buenos Aires,-61.7167,-36.2833
Vladislao Cap,Argentina,,,Defender,,,11,1,Avellaneda,-58.3667,-34.6667
Gabriel Calder&#xF3;n,Argentina,54,1.80,Midfielder,1981-1990,1985.5,23,1,Rawson Chubut,-65.1,-43.3
Neri Cardozo,Argentina,28,1.72,Midfielder,2007,2007,1,0,Mendoza Argentina,-68.8167,-32.8833
H&#xE9;ctor Canteros,Argentina,25,1.76,Midfielder,2011-,2012.5,2,0,Buenos Aires,-58.3817,-34.6033
Daniel Carnevali,Argentina,67,,Goalkeeper,1972-1974,1973,26,0,Rosario Santa Fe,-60.6667,-32.95
Ra&#xFA;l Cardozo,Argentina,46,,Defender,1997,1997,4,0,Mor&#xF3;n Buenos Aires,-58.6167,-34.65
Zoilo Canavery,Argentina,,,Midfielder,,,,,Montevideo,-56.1819,-34.8836
Rodolfo Esteban Cardoso,Argentina,45,1.78,Midfielder,1995-1998,1996.5,8,1,Azul Buenos Aires Province,-59.85,-36.7833
Alfredo Carricaberry,Argentina,,,Forward,1922-1931,1926.5,12,4,Col&#xF3;n Entre R&#xED;os,-58.1333,-32.2167
Juan Carlos C&#xE1;rdenas,Argentina,69,,Forward,1967-1976,1971.5,5,1,Santiago del Estero,-64.2667,-27.7833
Amadeo Carrizo,Argentina,88,,Goalkeeper,1954-1964,1959,20,0,Rufino Santa Fe,-62.7,-34.2667
Jorge Carrascosa,Argentina,66,1.68,Defender,1970-1977,1973.5,30,1,Valent&#xED;n Alsina,
C&#xE9;sar Carignano,Argentina,31,1.89,Forward,2003,2003,3,0,Freyre,
Juan Pablo Carrizo,Argentina,30,1.89,Goalkeeper,2007-,2010.5,12,0,Villa Constituci&#xF3;n,-60.3333,-33.2333
Pablo Cavallero,Argentina,40,1.84,Goalkeeper,1996-2004,2000,26,0,Lomas de Zamora,-58.4,-34.7667
Luis Alberto Carranza,Argentina,42,1.72,Midfielder,1994,1994,9,1,Quilmes,-58.2667,-34.7167
Juan Carlos Carone,Argentina,72,,Midfielder,1966-1967,1966.5,,,Buenos Aires,-58.3817,-34.6033
Lucas Castrom&#xE1;n,Argentina,33,1.74,Midfielder,2000-2005,2002.5,5,0,Luj&#xE1;n Buenos Aires Province,-59.1,-34.5667
Fernando Cavenaghi,Argentina,30,1.80,Forward,2008-,2011,4,0,O&apos;Brien Argentina,-60.75,-34.9
Renato Cesarini,Argentina,,,,,,,,Senigallia,13.2167,43.7167
Mat&#xED;as Caruzzo,Argentina,30,1.83,Defender,2008-,2011,5,0,Buenos Aires,-58.3817,-34.6033
Ra&#xFA;l Chaparro,Argentina,61,,Midfielder,1982,1982,1,0,Formosa Argentina,-58.1833,-26.1833
Francisco Cerro,Argentina,26,1.79,Midfielder,2012-,2013,1,0,Santiago del Estero,-64.2667,-27.7833
Roberto Cherro,Argentina,,,Forward,1926-1937,1931.5,16,13,Barracas Buenos Aires,-58.3833,-34.65
Agust&#xED;n Cejas,Argentina,69,,Goalkeeper,1964,1964,,,Buenos Aires,-58.3817,-34.6033
Cristian Manuel Ch&#xE1;vez,Argentina,28,1.68,Midfielder,2010-,2012,4,1,Pilar Buenos Aires Province,-58.9167,-34.45
Mario Chald&#xFA;,Argentina,72,,Forward,,,5,0,Buenos Aires,-58.3817,-34.6033
Jos&#xE9; Chamot,Argentina,45,1.86,Defender,1993-2002,1997.5,43,2,Concepci&#xF3;n del Uruguay,-58.2333,-32.4833
Christian Cellay,Argentina,32,1.70,Defender,2011-,2012.5,2,0,Buenos Aires,-58.3817,-34.6033
Victorio Cocco,Argentina,68,,Midfielder,1968-1974,1971,6,1,Santa Fe Argentina,-60.7,-31.6333
Alberto Chividini,Argentina,,1.81,Defender,1928-1930,1929,3,0,Buenos Aires,-58.3817,-34.6033
Enrique Chazarreta,Argentina,67,1.72,Midfielder,1973-1974,1973.5,11,0,Coronel Du Graty,-60.9333,-27.6667
Pedro de Ciancio,Argentina,76,,Defender,1960,1960,1,0,Buenos Aires,-58.3817,-34.6033
Fabricio Coloccini,Argentina,32,,Defender,2003-,2008.5,38,1,C&#xF3;rdoba Argentina,-64.1833,-31.4167
Omar Oreste Corbatta,Argentina,,1.65,Midfielder,1956-1962,1959,43,18,Daireaux,-61.75,-36.6
Ariel C&#xF3;lzera,Argentina,28,1.75,Defender,,,,,Resistencia Chaco,-58.9867,-27.4514
Tino Costa,Argentina,29,1.76,Midfielder,2011-,2012.5,2,0,Las Flores Buenos Aires Province,-59.15,-36.0167
Franco Costanzo,Argentina,33,1.88,Goalkeeper,2003,2003,1,0,R&#xED;o Cuarto C&#xF3;rdoba,-64.35,-33.1333
Jorge Comas (footballer),Argentina,54,,Forward,1988,1988,,,Paran&#xE1; Entre R&#xED;os,-60.5333,-31.7333
Jonathan Cristaldo,Argentina,25,1.75,Forward,2011-,2012.5,1,0,Buenos Aires Province,-61,-33.7
N&#xE9;stor Craviotto,Argentina,48,,Defender,1989-1993,1991,11,2,La Plata,-57.9544,-34.9211
Julio Ricardo Cruz,Argentina,39,1.90,Forward,1997-2008,2002.5,22,3,Santiago del Estero,-64.2667,-27.7833
Ernesto Cucchiaroni,Argentina,,1.69,Midfielder,,,,,Posadas Misiones,-55.9,-27.3667
Julio Cozzi,Argentina,,1.78,Goalkeeper,,,6,0,Buenos Aires,-58.3817,-34.6033
Diego Crosa,Argentina,38,,Defender,2000,2000,2,0,Rosario Santa Fe,-60.6667,-32.95
Hugo Coscia,Argentina,61,,Forward,1975-1979,1977,9,4,Chacabuco Buenos Aires,-60.4667,-34.6333
H&#xE9;ctor C&#xFA;per,Argentina,58,1.79,Defender,1984,1984,3,0,Santa Fe Province,-62.2461,-33.7228
Leandro Cufr&#xE9;,Argentina,36,1.77,Defender,2000-2006,2003,4,0,La Plata,-57.9544,-34.9211
Jos&#xE9; Luis Cuciuffo,Argentina,,1.76,Defender,1985-1989,1987,21,0,Manuel Belgrano,
Hern&#xE1;n Cristante,Argentina,44,1.81,Goalkeeper,1989-1995,1992,6,0,La Plata,-57.9544,-34.9211
Andr&#xE9;s D&apos;Alessandro,Argentina,33,1.74,Midfielder,2003-2011,2007,28,3,Buenos Aires,-58.3817,-34.6033
Hern&#xE1;n Crespo,Argentina,39,1.84,Forward,1995-2007,2001,64,35,Florida Buenos Aires,-58.5,-34.5167
Marcelo Delgado,Argentina,41,1.73,Forward,1996,1996,2,0,Capit&#xE1;n Berm&#xFA;dez,-60.7167,-32.8167
Pedro Dellacha,Argentina,,1.74,Defender,1953-1958,1955.5,35,0,Lan&#xFA;s,-58.4,-34.7
Mat&#xED;as Defederico,Argentina,25,1.70,Forward,,,,,Buenos Aires,-58.3817,-34.6033
Jos&#xE9; Della Torre,Argentina,,1.79,Defender,,,5,0,San Isidro Buenos Aires,-58.5167,-34.4667
Jes&#xFA;s D&#xE1;tolo,Argentina,30,1.77,Midfielder,2009-,2011.5,3,2,Carlos Spegazzini (city),-58.5667,-34.8833
C&#xE9;sar Delgado,Argentina,33,1.74,Midfielder,2003-2005,2004,20,2,Rosario Santa Fe,-60.6667,-32.95
Attilio Demar&#xED;a,Argentina,,,Forward,1930-1931,1930.5,3,0,Buenos Aires,-58.3817,-34.6033
Germ&#xE1;n Denis,Argentina,32,1.84,Forward,2007-,2010.5,5,0,Remedios de Escalada,-58.4,-34.7167
Alfredo Devincenzi,Argentina,,1.78,Forward,,,8,1,Buenos Aires,-58.3817,-34.6033
Pablo De Blasis,Argentina,26,1.64,Midfielder,,,,,La Plata,-57.9544,-34.9211
Alberto Acosta,Argentina,48,1.77,Forward,1992-1995,1993.5,19,2,Arocena,
Oscar Dertycia,Argentina,49,1.83,Forward,1984-1988,1986,19,2,C&#xF3;rdoba Argentina,-64.1833,-31.4167
Ricardo Altamirano,Argentina,48,,Defender,1991-1995,1993,27,1,Laguna Paiva,
Jorge Jos&#xE9; Ben&#xED;tez,Argentina,64,,Midfielder,1977,1977,2,0,Gobernador Castro,
Eduardo Berizzo,Argentina,44,1.80,Defender,1996-2000,1998,13,0,Cruz Alta C&#xF3;rdoba,
Luis Artime,Argentina,75,,Forward,1961-1967,1964,25,24,Parque Civit,
N&#xE9;stor Clausen,Argentina,51,1.76,Defender,1983-1989,1986,26,1,Arrufo,
Leandro Des&#xE1;bato,Argentina,35,1.86,Defender,2011-,2012.5,5,0,Cafferata,
Gustavo Dezotti,Argentina,50,1.80,Forward,1988-1990,1989,7,1,Monte Buey,-62.35,-32.4167
Daniel D&#xED;az,Argentina,35,1.82,Defender,2003-2009,2006,12,1,San Fernando del Valle de Catamarca,-65.7833,-28.4667
Franco Di Santo,Argentina,25,,Forward,2012-,2013,3,0,Mendoza Argentina,-68.8167,-32.8833
&#xC1;ngel Di Mar&#xED;a,Argentina,26,1.80,Midfielder,2008-,2011,52,10,Rosario Santa Fe,-60.6667,-32.95
Jorge Pereyra D&#xED;az,Argentina,24,1.78,Forward,2014-,2014,8,8,Rioja,
&#xC1;ngel Gast&#xF3;n D&#xED;az,Argentina,33,1.75,Midfielder,,,,,Lomas de Zamora,-58.4,-34.7667
Federico Dom&#xED;nguez,Argentina,38,,Defender,2003,2003,1,0,Lan&#xFA;s,-58.4,-34.7
Ram&#xF3;n D&#xED;az,Argentina,54,1.73,Forward,1979-1982,1980.5,22,10,La Rioja Argentina,-66.8542,-29.4125
Alfredo Di St&#xE9;fano,Argentina,,1.78,Forward,1957-1961,1959,31,23,Buenos Aires,-58.3817,-34.6033
Gast&#xF3;n D&#xED;az,Argentina,26,1.75,Defender,2011-,2012.5,1,0,Buenos Aires,-58.3817,-34.6033
Octavio D&#xED;az,Argentina,,,Goalkeeper,1926-1928,1927,9,0,Argentina,-58.3833,-34.6
Rogelio Dom&#xED;nguez,Argentina,,1.83,Goalkeeper,1951-1963,1957,58,0,Buenos Aires,-58.3817,-34.6033
Mariano Echeverr&#xED;a,Argentina,33,1.90,Defender,2010,2010,1,0,Mar del Plata,-57.55,-38
Jorge Dom&#xED;nguez,Argentina,55,,Forward,1984,1984,3,0,Buenos Aires,-58.3817,-34.6033
Sebasti&#xE1;n Dom&#xED;nguez,Argentina,34,1.83,Defender,2009-,2011.5,8,0,Buenos Aires,-58.3817,-34.6033
Carlos Enrique,Argentina,50,,Midfielder,1991,1991,9,0,Adrogu&#xE9;,-58.3833,-34.8
H&#xE9;ctor Enrique,Argentina,52,1.72,Midfielder,1986-1989,1987.5,11,0,Lan&#xFA;s,-58.4,-34.7
Aldo Duscher,Argentina,35,1.74,Midfielder,2005,2005,3,0,Esquel,-71.3167,-42.9
Federico Edwards,Argentina,83,,Defender,,,,,Santa Fe Argentina,-60.7,-31.6333
Ignacio Don,Argentina,32,1.81,Goalkeeper,,,,,Argentina,-58.3833,-34.6
Javier Elizondo,Argentina,31,1.76,Forward,,,,,Buenos Aires,-58.3817,-34.6033
Walter Erviti,Argentina,34,1.69,Midfielder,2010-,2012,1,0,Mar del Plata,-57.55,-38
Enrique Chimento,Argentina,,,Defender,,,,,Argentina,-58.3833,-34.6
Marcelo Escudero,Argentina,42,,Midfielder,1994-1995,1994.5,9,1,Punta Alta,-62.0667,-38.8667
Juan Alberto Estrada,Argentina,,,Goalkeeper,1936-1941,1938.5,18,0,San Pedro Buenos Aires Province,-59.6669,-33.6792
Iv&#xE1;n Esper&#xF3;n,Argentina,,,Defender,,,10,1,Buenos Aires,-58.3817,-34.6033
Juan Esn&#xE1;ider,Argentina,41,1.80,Forward,1995-1999,1997,3,0,Mar del Plata,-57.55,-38
Ernesto Far&#xED;as,Argentina,34,1.77,Forward,2005,2005,1,0,Trenque Lauquen,-62.7,-35.9667
Mario Evaristo,Argentina,,1.69,Forward,1929-1930,1929.5,9,3,Buenos Aires,-58.3817,-34.6033
Ram&#xF3;n Astudillo,Argentina,,,Defender,,,,,Argentina,-58.3833,-34.6
Julio C&#xE9;sar Falcioni,Argentina,58,1.80,Goalkeeper,1989,1989,1,0,Buenos Aires,-58.3817,-34.6033
Federico Fazio,Argentina,27,1.95,Defender,2011-,2012.5,2,0,Buenos Aires,-58.3817,-34.6033
Marcelo Espina,Argentina,47,1.74,Midfielder,1994-1996,1995,15,1,Federal capital,
H&#xE9;ctor Facundo,Argentina,,,Forward,,,,,Argentina,-58.3833,-34.6
Augusto Fern&#xE1;ndez,Argentina,28,1.77,Midfielder,2011-,2012.5,9,1,Pergamino,-60.5667,-33.8833
Dar&#xED;o Felman,Argentina,62,,Forward,1977,1977,1,0,Mendoza Argentina,-68.8167,-32.8833
Juan Ram&#xF3;n Fern&#xE1;ndez,Argentina,34,1.73,Defender,1999,1999,1,0,Gualeguaych&#xFA; Entre R&#xED;os,-58.5167,-33.0167
N&#xE9;stor Fabbri,Argentina,46,1.88,Defender,1989-1997,1993,21,1,Buenos Aires,-58.3817,-34.6033
Federico Fern&#xE1;ndez (footballer),Argentina,25,1.90,Defender,2011-,2012.5,30,2,Tres Algarrobos,-62.7667,-35.2
Manuel Ferreira,Argentina,,,Forward,1927-1930,1928.5,21,11,Trenque Lauquen,-62.7,-35.9667
Leandro Fern&#xE1;ndez (footballer),Argentina,31,1.79,Defender,2004,2004,5,1,Rosario Santa Fe,-60.6667,-32.95
Bernab&#xE9; Ferreyra,Argentina,,,Forward,1930-1937,1933.5,4,0,Rufino Santa Fe,-62.7,-34.2667
Roberto Ferreiro,Argentina,79,,Defender,1962-1966,1964,20,0,Avellaneda,-58.3667,-34.6667
Enzo Ferrero,Argentina,61,,Midfielder,1974,1974,3,1,Campana Buenos Aires Province,-58.9167,-34.1667
Luciano Figueroa,Argentina,33,1.80,Forward,2004-2005,2004.5,15,9,Santa Fe Argentina,-60.7,-31.6333
Jos&#xE9; Luis Fern&#xE1;ndez,Argentina,26,1.68,Midfielder,2010-,2012,1,0,Ciudadela Buenos Aires,-58.5333,-34.6333
